         128502091 function calls (127962783 primitive calls) in 2091.010 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31261    0.029    0.000    0.029    0.000 {built-in method torch._C._get_privateuse1_backend_name}
     7674    0.029    0.000    1.057    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\utils.py:317(disp_trim)
    65532    0.028    0.000    0.028    0.000 {built-in method _expired}
    15641    0.027    0.000    0.032    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\inspect.py:283(ismodule)
       92    0.027    0.000    0.027    0.000 {built-in method builtins.print}
    62541    0.024    0.000    0.024    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\__init__.py:124(annotate)
    15634    0.023    0.000    0.249    0.000 {built-in method builtins.all}
    23529    0.023    0.000    0.023    0.000 {method 'update' of 'dict' objects}
    15630    0.023    0.000    0.023    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\autograd\__init__.py:139(_tensor_or_tensors_to_tuple)
    62522    0.023    0.000    0.023    0.000 {method 'getbuffer' of '_winapi.Overlapped' objects}
    15641    0.022    0.000    0.027    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\inspect.py:466(isframe)
    31272    0.022    0.000    0.022    0.000 {method 'getvalue' of '_io.BytesIO' objects}
    17503    0.022    0.000    0.026    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\inspect.py:300(ismethod)
    31380    0.021    0.000    0.021    0.000 {method 'remove' of 'collections.deque' objects}
     7714    0.020    0.000    0.020    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    15677    0.020    0.000    0.024    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\inspect.py:378(isfunction)
    15642    0.020    0.000    0.020    0.000 {built-in method torch._C._has_torch_function_variadic}
     5505    0.019    0.000    0.027    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\copyreg.py:113(_slotnames)
    15630    0.019    0.000    0.025    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\_foreach_utils.py:8(_get_foreach_kernels_supported_devices)
    31260    0.019    0.000    0.019    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_dynamo\decorators.py:141(graph_break)
    15641    0.018    0.000    0.022    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\inspect.py:480(iscode)
    54847    0.017    0.000    0.017    0.000 {built-in method builtins.callable}
    38330    0.017    0.000    0.017    0.000 {built-in method builtins.divmod}
    15641    0.017    0.000    0.031    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\inspect.py:456(istraceback)
    31539    0.017    0.000    0.017    0.000 {method 'append' of 'collections.deque' objects}
    15630    0.017    0.000    0.017    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\_reduction.py:7(get_enum)
     6890    0.017    0.000    0.030    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\serialization.py:780(persistent_id)
    15641    0.015    0.000    0.015    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:751(__init__)
    31282    0.014    0.000    0.014    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_dynamo\eval_frame.py:188(nothing)
    31282    0.014    0.000    0.014    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_dynamo\eval_frame.py:205(enable_dynamic)
        2    0.013    0.006    1.300    0.650 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\datasets\cifar.py:51(__init__)
     7735    0.013    0.000    0.013    0.000 {method 'acquire' of '_thread.RLock' objects}
      117    0.013    0.000    0.013    0.000 {method '__exit__' of '_io._IOBase' objects}
       10    0.010    0.001    0.010    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\serialization.py:451(__init__)
     7674    0.008    0.000    0.008    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\utils.py:39(__init__)
     7674    0.008    0.000    0.008    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\utils.py:43(__format__)
     4390    0.008    0.000    0.012    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_jit_internal.py:798(get_torchscript_modifier)
     7674    0.008    0.000    0.008    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\std.py:166(colour)
    15630    0.007    0.000    0.007    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\optimizer.py:340(_optimizer_step_code)
    15641    0.007    0.000    0.007    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:754(__enter__)
      240    0.007    0.000    0.021    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_tensor.py:247(_reduce_ex_internal)
      470    0.007    0.000    0.007    0.000 {built-in method _winapi.CloseHandle}
       97    0.006    0.000    0.009    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\tensorboard\_pytorch_graph.py:66(__init__)
        9    0.006    0.001    0.006    0.001 {built-in method io.open_code}
    15641    0.006    0.000    0.006    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:757(__exit__)
     7735    0.006    0.000    0.006    0.000 {method 'release' of '_thread.RLock' objects}
      240    0.005    0.000    0.005    0.000 {built-in method torch._C._has_storage}
    15631    0.005    0.000    0.005    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\typing.py:2233(cast)
       70    0.005    0.000    0.008    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\tensorboard\summary.py:317(scalar)
     7714    0.005    0.000    0.005    0.000 {built-in method builtins.abs}
       83    0.004    0.000    0.004    0.000 {built-in method nt.lstat}
        2    0.004    0.002    0.068    0.034 {built-in method torch._C._create_method_from_trace}
       16    0.004    0.000    0.017    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\_recursive.py:581(init_fn)
       69    0.004    0.000    0.004    0.000 {built-in method _thread.start_new_thread}
     1152    0.004    0.000    0.011    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_jit_internal.py:1132(_qualified_name)
     6650    0.004    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\__init__.py:533(is_storage)
      137    0.004    0.000    0.004    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
     7674    0.004    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\std.py:162(colour)
       21    0.004    0.000  930.049   44.288 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\data\dataloader.py:990(__init__)
   144/96    0.004    0.000    0.009    0.000 {built-in method builtins.dir}
       12    0.004    0.000    0.004    0.000 {method 'readlines' of '_io._IOBase' objects}
       83    0.003    0.000    0.003    0.000 {built-in method _winapi.CreateNamedPipe}
      272    0.003    0.000    0.013    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\synchronize.py:50(__init__)
       62    0.003    0.000  929.212   14.987 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\popen_spawn_win32.py:44(__init__)
       16    0.003    0.000    0.019    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\_recursive.py:740(get_overload_annotations)
       16    0.003    0.000    0.007    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\inspect.py:550(_getmembers)
       16    0.003    0.000    0.013    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_jit_internal.py:756(module_has_exports)
       48    0.003    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\module.py:2519(<listcomp>)
       16    0.003    0.000    0.041    0.003 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\_recursive.py:562(create_script_module_impl)
       10    0.003    0.000    0.003    0.000 {built-in method torch._C.write_end_of_file}
      355    0.003    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\random.py:493(<listcomp>)
       10    0.003    0.000    0.123    0.012 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\serialization.py:770(_save)
     1120    0.003    0.000    0.014    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_jit_internal.py:959(_get_overloaded_methods)
     1862    0.002    0.000    0.002    0.000 {built-in method torch._C.is_ignored_attribute}
        1    0.002    0.002    0.007    0.007 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\_trace.py:376(graph_diagnostic_info)
      240    0.002    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\storage.py:886(_size)
   373/13    0.002    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
      355    0.002    0.000    0.010    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\tempfile.py:153(__next__)
       16    0.002    0.000    0.029    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\_recursive.py:185(infer_concrete_type_builder)
        1    0.002    0.002    0.002    0.002 {method 'new_full' of 'torch._C._TensorBase' objects}
      171    0.002    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\threading.py:236(__init__)
     5525    0.002    0.000    0.002    0.000 {method 'get' of 'mappingproxy' objects}
       66    0.002    0.000    0.003    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\module.py:451(__init__)
      806    0.002    0.000    0.002    0.000 {built-in method _winapi.DuplicateHandle}
        9    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
      558    0.002    0.000    0.007    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\synchronize.py:100(__getstate__)
      248    0.002    0.000    0.008    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\connection.py:955(reduce_pipe_connection)
       62    0.002    0.000    0.725    0.012 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\queues.py:161(_start_thread)
       83    0.002    0.000    0.022    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\connection.py:534(Pipe)
       10    0.002    0.000    0.098    0.010 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\tensorboard\writer.py:389(add_scalars)
       40    0.002    0.000   35.182    0.880 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\data\dataloader.py:1400(_shutdown_workers)
       83    0.002    0.000    0.039    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\queues.py:37(__init__)
      355    0.002    0.000    0.006    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\random.py:480(choices)
       86    0.002    0.000    0.002    0.000 {built-in method torch._C.mustBeNone}
      248    0.002    0.000    0.002    0.000 {built-in method _winapi.OpenProcess}
      124    0.002    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\process.py:350(__reduce__)
      124    0.002    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\util.py:186(__init__)
        1    0.002    0.002    0.015    0.015 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\tensorboard\_pytorch_graph.py:236(parse)
       62    0.002    0.000    0.002    0.000 {built-in method _winapi.CreatePipe}
      124    0.001    0.000    0.003    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\reduction.py:38(__init__)
      238    0.001    0.000    0.002    0.000 <frozen ntpath>:154(splitdrive)
      301    0.001    0.000   35.172    0.117 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\popen_spawn_win32.py:102(wait)
       83    0.001    0.000    0.042    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py:100(Queue)
      240    0.001    0.000    0.024    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_tensor.py:212(__reduce_ex__)
    80/10    0.001    0.000    0.007    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\module.py:1825(state_dict)
     1984    0.001    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py:365(get_spawning_popen)
     1120    0.001    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:163(match)
      109    0.001    0.000    0.004    0.000 <frozen ntpath>:107(join)
       20    0.001    0.000    0.105    0.005 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\std.py:837(__init__)
       83    0.001    0.000    0.012    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\tempfile.py:384(mktemp)
      240    0.001    0.000    0.003    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_tensor.py:241(_typed_storage)
      714    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:405(parent)
     1122    0.001    0.000    0.003    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:272(_compile)
       79    0.001    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\queue.py:122(put)
      248    0.001    0.000    0.005    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\reduction.py:106(__init__)
       62    0.001    0.000    0.003    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\spawn.py:154(get_preparation_data)
      240    0.001    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\serialization.py:217(_cpu_tag)
       16    0.001    0.000    0.010    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\_recursive.py:939(get_property_stubs)
       12    0.001    0.000    0.001    0.000 {built-in method torch.clone}
      229    0.001    0.000    0.003    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\module.py:1697(__setattr__)
       41    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
      104    0.001    0.000    0.008    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py:65(Lock)
       83    0.001    0.000    0.001    0.000 {built-in method _winapi.ConnectNamedPipe}
       69    0.001    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\threading.py:849(__init__)
       71    0.001    0.000    0.008    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\tensorboard\writer.py:96(add_summary)
       83    0.001    0.000    0.001    0.000 {built-in method _winapi.CreateFile}
     1120    0.001    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_jit_internal.py:776(is_ignored_fn)
      260    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     1120    0.001    0.000    0.005    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\package\_mangling.py:44(is_mangled)
       62    0.001    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\process.py:80(__init__)
     16/2    0.001    0.000    0.089    0.045 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\_trace.py:1123(__init__)
      240    0.001    0.000    0.001    0.000 {built-in method torch._C._get_tensor_metadata}
      120    0.001    0.000    0.008    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\util.py:205(__call__)
      374    0.001    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\module.py:1643(__getstate__)
        1    0.001    0.001    0.001    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\tensorboard\_pytorch_graph.py:168(populate_namespace_from_OP_to_IO)
        6    0.001    0.000    0.092    0.015 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tensorboard\summary\writer\event_file_writer.py:54(__init__)
      558    0.001    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\popen_spawn_win32.py:98(duplicate_for_child)
       62    0.001    0.000  929.216   14.987 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py:333(_Popen)
       62    0.001    0.000  929.220   14.987 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\process.py:110(start)
        1    0.001    0.001    0.009    0.009 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\tensorboard\writer.py:174(__init__)
       80    0.001    0.000    0.005    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\module.py:1788(_save_to_state_dict)
       41    0.001    0.000    0.001    0.000 {method 'random_' of 'torch._C._TensorBase' objects}
     5684    0.001    0.000    0.001    0.000 {method 'isdigit' of 'str' objects}
       62    0.001    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\subprocess.py:300(_args_from_interpreter_flags)
       16    0.001    0.000    0.001    0.000 {built-in method torch._C.build}
     1325    0.001    0.000    0.001    0.000 {built-in method nt.getpid}
       75    0.001    0.000    0.739    0.010 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\threading.py:288(wait)
       23    0.001    0.000    0.387    0.017 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\connection.py:826(wait)
       71    0.001    0.000    0.003    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\tensorboard\_convert_np.py:8(make_np)
      272    0.001    0.000    0.008    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\synchronize.py:114(_make_name)
     1144    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      240    0.001    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_utils.py:806(_element_size)
     1552    0.001    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\frontend.py:210(<lambda>)
       83    0.001    0.000    0.013    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\connection.py:69(arbitrary_address)
       73    0.001    0.000    0.007    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\tensorboard\writer.py:80(add_event)
       69    0.001    0.000    0.734    0.011 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\threading.py:604(wait)
      558    0.001    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\reduction.py:71(duplicate)
       83    0.001    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\queues.py:71(_reset)
       21    0.001    0.000    0.772    0.037 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\data\dataloader.py:1086(_reset)
       10    0.001    0.000    0.138    0.014 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\serialization.py:565(save)
       12    0.001    0.000    0.001    0.000 {method 'readline' of '_io.BufferedReader' objects}
       21    0.001    0.000    0.003    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\data\dataloader.py:564(__init__)
      124    0.001    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\queues.py:57(__getstate__)
      355    0.001    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\tempfile.py:142(rng)
       45    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       83    0.001    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py:85(BoundedSemaphore)
    48/32    0.001    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\annotations.py:400(try_ann_to_type)
      354    0.001    0.000    0.001    0.000 {built-in method torch._C._jit_is_script_object}
      744    0.001    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py:371(assert_spawning)
      122    0.001    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\queues.py:153(cancel_join_thread)
       69    0.001    0.000    0.739    0.011 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\threading.py:938(start)
       79    0.001    0.000    0.005    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tensorboard\summary\writer\event_file_writer.py:165(write)
       62    0.001    0.000    0.003    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\spawn.py:81(get_command_line)
     2840    0.001    0.000    0.001    0.000 {built-in method math.floor}
       48    0.001    0.000    0.007    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\module.py:2510(__dir__)
       60    0.001    0.000   35.172    0.586 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\process.py:142(join)
       70    0.001    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\_recursive.py:213(infer_type)
     2840    0.001    0.000    0.001    0.000 {method 'random' of '_random.Random' objects}
      240    0.001    0.000    0.001    0.000 {method 'data_ptr' of 'torch._C._TensorBase' objects}
      151    0.001    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\_weakrefset.py:85(add)
       40    0.001    0.000    0.025    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\std.py:1262(close)
       83    0.001    0.000    0.001    0.000 {built-in method _winapi.SetNamedPipeHandleState}
       20    0.001    0.000    0.006    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\tensorboard\writer.py:344(add_scalar)
       70    0.001    0.000    0.001    0.000 {built-in method torch._C.setattr}
        6    0.001    0.000    0.001    0.000 {built-in method _socket.gethostname}
      240    0.001    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\serialization.py:370(location_tag)
      124    0.001    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py:368(set_spawning_popen)
       84    0.001    0.000    0.004    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py:80(Semaphore)
       79    0.001    0.000    0.006    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tensorboard\summary\writer\event_file_writer.py:106(add_event)
       20    0.001    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\ctypes\__init__.py:48(create_string_buffer)
        2    0.001    0.000    0.001    0.000 {built-in method torch._C._jit_pass_canonicalize}
      640    0.001    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\util.py:48(debug)
       38    0.001    0.000    0.001    0.000 {built-in method torch._C._jit_try_infer_type}
       97    0.001    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\tensorboard\_proto_graph.py:29(node_proto)
      368    0.000    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_jit_internal.py:1090(is_final)
      760    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      217    0.000    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\parameter.py:8(__instancecheck__)
       32    0.000    0.000    0.000    0.000 {method 'narrow' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.000    0.000 {built-in method torch.isclose}
       40    0.000    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\utils.py:118(disable_on_exception)
       95    0.000    0.000    0.010    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\tensorboard\_pytorch_graph.py:111(__init__)
      240    0.000    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_utils.py:184(get_tensor_metadata)
       80    0.000    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\module.py:1756(__delattr__)
       83    0.000    0.000    0.005    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\tempfile.py:76(_exists)
       62    0.000    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\process.py:61(_cleanup)
       70    0.000    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\data\dataloader.py:456(__len__)
       52    0.000    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\_trace.py:39(_get_interpreter_name_for_var)
      813    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       71    0.000    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\numeric.py:1878(isscalar)
      240    0.000    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_utils.py:411(_get_obj_state)
      240    0.000    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_namedtensor_internals.py:10(check_serializing_named_tensor)
      960    0.000    0.000    0.000    0.000 {method 'data_ptr' of 'torch._C.StorageBase' objects}
       98    0.000    0.000    0.000    0.000 {built-in method torch._C.kindOf}
       20    0.000    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\std.py:574(_decr_instances)
      480    0.000    0.000    0.000    0.000 {method 'nbytes' of 'torch._C.StorageBase' objects}
        3    0.000    0.000    0.000    0.000 {built-in method torch._C._jit_pass_inline}
       58    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      240    0.000    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\storage.py:763(_element_size)
       87    0.000    0.000    0.001    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\encodings\cp1252.py:18(encode)
       60    0.000    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\queues.py:204(_finalize_close)
        1    0.000    0.000    0.004    0.004 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\utils.py:23(make_grid)
       16    0.000    0.000    0.002    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\_script.py:646(_finalize_scriptmodule)
     10/7    0.000    0.000    0.024    0.003 <frozen importlib._bootstrap>:1167(_find_and_load)
